,,,,,,,,,,,,,,
,T,Observed Value,Corrected Value,Deviation,Observed Value,Corrected Value,Deviation,,,,,,,
,oC,oBrix,oBrix,oBrix,n20D,n20D,n20D,,,,,,,
,19,20,19.93,0.07000000000000028,1.33299,1.3325399999999998,0.00045000000000006146,,,,,,,
,19.1,20,19.937,0.06299999999999883,1.33299,1.332585,0.0004049999999999887,,,,,,,
,19.2,20,19.944,0.05600000000000094,1.33299,1.33263,0.00035999999999991594,,,,,,,
,19.3,20,19.951,0.04899999999999949,1.33299,1.3326749999999998,0.00031500000000006523,,,,,,,
,19.4,20,19.958,0.04200000000000159,1.33299,1.33272,0.00026999999999999247,,,,,,,
,19.5,20,19.965,0.03500000000000014,1.33299,1.332765,0.0002249999999999197,,,,,,,
,19.6,20,19.972,0.027999999999998693,1.33299,1.3328099999999998,0.000180000000000069,,,,,,,
,19.7,20,19.979,0.021000000000000796,1.33299,1.332855,0.00013499999999999623,,,,,,,
,19.8,20,19.986,0.013999999999999346,1.33299,1.3329,8.999999999992347e-05,,,,,,,
,19.9,20,19.993,0.0070000000000014495,1.33299,1.3329449999999998,4.500000000007276e-05,,,,,,,
,20,20,20,0,1.33299,1.33299,0,,,,,,,
,20.1,20,20.007,-0.0070000000000014495,1.33299,1.333035,-4.500000000007276e-05,,,,,,,
,20.2,20,20.014,-0.013999999999999346,1.33299,1.3330799999999998,-8.999999999992347e-05,,,,,,,
,20.3,20,20.021,-0.021000000000000796,1.33299,1.333125,-0.00013499999999999623,,,,,,,
,20.4,20,20.028,-0.027999999999998693,1.33299,1.33317,-0.000180000000000069,,,,,,,
,20.5,20,20.035,-0.03500000000000014,1.33299,1.3332149999999998,-0.0002249999999999197,,,,,,,
,20.6,20,20.042,-0.04200000000000159,1.33299,1.33326,-0.00026999999999999247,,,,,,,
,20.7,20,20.049,-0.04899999999999949,1.33299,1.333305,-0.00031500000000006523,,,,,,,
,20.8,20,20.056,-0.05600000000000094,1.33299,1.3333499999999998,-0.00035999999999991594,,,,,,,
,20.9,20,20.063,-0.06299999999999883,1.33299,1.3333949999999999,-0.0004049999999999887,,,,,,,
,21,20,20.07,-0.07000000000000028,1.33299,1.33344,-0.00045000000000006146,,,,,,,
,21.1,20,20.077,-0.07700000000000173,1.33299,1.3334849999999998,-0.0004949999999999122,,,,,,,
,21.2,20,20.084,-0.08399999999999963,1.33299,1.3335299999999999,-0.0005399999999999849,,,,,,,
,21.3,20,20.091,-0.09100000000000108,1.33299,1.333575,-0.0005850000000000577,,,,,,,
,21.4,20,20.098,-0.09799999999999898,1.33299,1.3336199999999998,-0.0006299999999999084,,,,,,,
,21.5,20,20.105,-0.10500000000000043,1.33299,1.3336649999999999,-0.0006749999999999812,,,,,,,
,21.6,20,20.112000000000002,-0.11200000000000188,1.33299,1.33371,-0.0007200000000000539,,,,,,,
,21.7,20,20.119,-0.11899999999999977,1.33299,1.3337549999999998,-0.0007649999999999046,,,,,,,
,21.8,20,20.126,-0.12600000000000122,1.33299,1.3337999999999999,-0.0008099999999999774,,,,,,,
,21.9,20,20.133,-0.13299999999999912,1.33299,1.333845,-0.0008550000000000502,,,,,,,
,22,20,20.14,-0.14000000000000057,1.33299,1.3338899999999998,-0.0008999999999999009,,,,,,,
,22.1,20,20.147,-0.14699999999999847,1.33299,1.3339349999999999,-0.0009449999999999736,,,,,,,
