ref,nama,alamat,kota,provinsi
idn-2208,SAGAT TEKNOLOGI,"Jl.Cipaganti Raya Blok Y7 No.14, Jawa Barat",,Jawa Barat
idn-2209,PT. INDELSTA,"Jl. Golf 1 Blok 2 No 29, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2210,SuksesKaryaNusantara,"Jalan Medan Belawan km.24, Kabupaten Sumedang, Jawa Barat",Kabupaten Sumedang,Jawa Barat
idn-2211,""" SURABAYA GENSET ""","Jln. Raya Satelit Indah No. 43D, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2212,LAMTERA.COM,"JL.Cimindi no 174, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2213,mitra indo energi,"Bangil, Jawa Timur",,Jawa Timur
idn-2214,CV. JOHELD PRIMATECH,"Jl. Bajak V, Gg. Sejahtera No.34, Kabupaten Sumedang, Jawa Barat",Kabupaten Sumedang,Jawa Barat
idn-2215,karya cepat elektro,"jl.cendrawasih 1 blok b no.36 bekasi, Jawa Barat",,Jawa Barat
idn-2216,New Euro Furniture Kudus,"Utara perempatan UMK Kudus, Kabupaten Kudus, Jawa Tengah",Kabupaten Kudus,Jawa Tengah
idn-2217,CV Tunas Indo Perkasa,"Jalan.Ujung Belakang Olo no.6A Padang, Kota Padang, Sumatera Barat",Kota Padang,Sumatera Barat
idn-2218,BIOGAS BIOMASS BIOMASSA MMC,"Jl. Pandugo 91, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2219,AR120,"jl.kapisraba 10b no 15 sawojajar 2, Kabupaten Pemalang, Jawa Tengah",Kabupaten Pemalang,Jawa Tengah
idn-2220,dayli,"jl.darmo indah, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2221,KURNIA KALTIM SERVICE,"Jln. Kol. Sugionono 9 wedoro Waru, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2222,Stiger Electronic Surabaya,"Hi-Tech Mall Lt.1 Blok.C No.35, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2223,zhapent,"kapas baru no 23, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2224,PT. Purity Gasses Industry,"Jl. Rusa 1 No. 87 Blok G Kws. Industri Jababeka 2, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2225,Grosir Sepatu Futsal Sepatu Futsal Murah Sepatu Sepak Bola Bola Futsal,"Jl. Lebo Agung 4, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2226,sanisindometal,"Jl. kolonel Sugiono Ngingas selatan RT 01/01 Waru sidoarjo jawa timur, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2227,KHALISH ENERGI,"[email protected] (Surabaya, Malang, Pasuruan, Sidoarjo, Mojokerto), Jawa Timur",,Jawa Timur
idn-2228,Tgy Buy ( www.tgybuy.com),"Barata Jaya, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2229,Abadi Jaya,"Gunung Sari Indah, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2230,mci steel,"Jakarta Beltway Office Park , Tower B Level 5 , suite 501 -504 , Jl . . TB Simatupang No . 41 Jakarta 12550 Indonesia Web : http://www.mcisteel.com , Email : [email protected] or [email protected] Phone : 021 32496673 , 021 84598639, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2231,ROTARY JAYA CCTV,"medan medan medan, Kabupaten Sumedang, Jawa Barat",Kabupaten Sumedang,Jawa Barat
idn-2232,PT Alfa Beta Charly,"Jl Tanjungpura No. 24, Kota Pontianak, Kalimantan Barat",Kota Pontianak,Kalimantan Barat
idn-2233,CV.Bintang Kurnia Jaya,"trosobo utama d 24, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2234,ADDIE NUNING USAHA MANDIRI,"Tambun, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2235,CV. PETROPRI PERTIWI,"Jl. Prambanan raya 18, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2236,PT SUMBER ANEKA POWER,"Jln sukarno -Hatta MTC block C no 36, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2237,MMC - Penghemat listrik - energy saving,"Jl. Pandugo 91, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2238,cv. Antero Raya,"kel.tamanan kec.mojoroto, Kabupaten Kediri, Jawa Timur",Kabupaten Kediri,Jawa Timur
idn-2239,PT. SUMATERA ASIATIC UTAMA,"JL.MULTATULI BLOK C NO.37, Kabupaten Sumedang, Jawa Barat",Kabupaten Sumedang,Jawa Barat
idn-2240,Treatment Trafo oleh PT.Saiki Putra Teknindo,"Villa Mula Sakti Blok N4 NO. 6 Kali Abang Tengah Bekasi Utara 17125, Jawa Barat, Jawa Barat",,Jawa Barat
idn-2241,Sollar Cell Penerangan Tenaga Surya,"jl.tnggumung baru mulya 1 no.24 B, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2242,PT.SEKAPA,"Jl.Andalas no.2A, Kota Padang, Sumatera Barat",Kota Padang,Sumatera Barat
idn-2243,yoshioka electric,"pangkalan 1a km11 jalan raya narogong, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2244,"ADJENG KRISNA MOEKTI, PT","Jl. Kandangan Rejo 1 No. 3, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2245,PT. BENFORT DWIPUTRA SINERGI,"Ruko Puri Kencana Blok I no. 10 JL. Raya Mustikasari, Pengasinan, Rawalumbu, Bekasi Timur, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2246,HERU AND CORPS,"Batu, Kabupaten Pemalang, Jawa Tengah",Kabupaten Pemalang,Jawa Tengah
idn-2247,jago-mesin,"pucang anaom7/50, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2248,PT. SUNGAIBERKAT SERANI SUKSES,"Jl.Serut Jaya No.5 , Taruma Jaya Bekasi, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2249,PT. GENESIS FAJAR HARAPAN,"Jl. Pasir Kencana no.27, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2250,PT. INTERLINK NUSA NIAGA,"Sirnagaliih No.57 RT 001 RW 007 Kelurahan Loji Kecamatan Kota Bogor Barat, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2251,cv new generasi,"jln raya temayang bojonegoro km 25, Kabupaten Bojonegoro, Jawa Timur",Kabupaten Bojonegoro,Jawa Timur
idn-2252,CV. Puspita Teknik,"Jl. Kampung Sawah RT 003/Rw 004 Kel. Jatimelati Kec.Pondok Melati, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2253,PT. ASPALINDO GUNUNG PUTRI,"Jl. Ciangsana Raya Km 9 No.75, Gunung Putri, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2254,cv_ Jasindo,"Office : Jl. Karonsih Timur II/245 Ngaliyan, Kabupaten Semarang, Jawa Tengah",Kabupaten Semarang,Jawa Tengah
idn-2255,RENTAL HT SEWA HT SURABAYA,"Wiyung, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2256,PT. DHITAMA MAKMUR ELEKTRIK,"Jl. Baru Gor Pemda Pakansari, Cibinong - Bogor, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2257,Inovasindo Teknik,"Satelit Town Square 5-E23 Raya Sukomanunggal Jaya, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2258,RAMAJAYA PLASTIK,"Ds. Loderesan RT 2 / RW 3 No 31 Kedung waru Tulungagung, Kabupaten Tulungagung, Jawa Timur",Kabupaten Tulungagung,Jawa Timur
idn-2259,RAJA OLAH,"Jl.Panglima Sudirman:3 Sukodadi-Lamongan,Jatim, Kabupaten Lamongan, Jawa Timur",Kabupaten Lamongan,Jawa Timur
idn-2260,quantum medika,"Jl. Kumbang 33 Bogor, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2261,CV. MANDIRI PRIMA SEJAHTERA,"Gedung Puskopal Armatim lt.3 Jl. Ikan Dorang No.1, Surabaya, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2262,PT.GEMILANG SINAR JAYA,"Jl. Estate Block C-3 No. 1, Cikarang,Bekasi Jawa Barat, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2263,BOX panel Bogor,"Jl raya Parung, desa Jabon Mekar Rt4 rw 3 ,gg Lelel no 105, Kab Bogor 16330, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2264,GalankShop,"Jl. Langgar RT 002/02 No. 97 - Kampung Kelapa, Rawa Panjang. Citayam, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2265,PT. SESMA ANUGERAH SEJAHTERA,"JL.WALAHIR NO 20 RT.03 RW.04 DS. KARANG RAHARJA CIKARANG UTARA, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2266,www.karuniapowerindo.com PERKINS - LOVOL - CUMMINS Call Me 08111696667,"Jl. Raya Wibawa Mukti No. 44 Rt.01 Rw.06 Jatisari, Jatiasih Bekasi, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2267,bandung elektrikal shops,"Puri cipageran indah 2 blok D10 no 8, Jawa Barat",,Jawa Barat
idn-2268,PT. JAVA SURYA TEKNIK,"Jl. Raya Berbek No.16 RT.002 RW.002 Berbek, Waru, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2269,SERVICE CENTER FUJI ELECTRIC INDONESIA,"Cempaka Arum Ruko Blok A5 No 1-2 Gede Bage, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2270,PT. Mitrainti Sejahtera Eletrindo,"Pengampon Square Blok D-31, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2271,CV. ASASURYA,"Jl. Serayu no.18 Ungaran, Kabupaten Semarang, Jawa Tengah",Kabupaten Semarang,Jawa Tengah
idn-2272,ANUGERAH HARAPAN TEKNIK,"Jl. Taman Wiguna Selatan 4 No.4, Gunung Anyar Tambak, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2273,PT.Bagus Teknik,"Perumahan cempaka arum blok b2 no :3/Gede Bage Bandung, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2274,PT. AUTOTEK JAYA ABADI,"Klampis Semolo Tengah IV Blok M16, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2275,Elco Indonesia,"Jl. Awiligar No. 62, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2276,PT. ANUGERAH MANDIRI WATERPROOF,"JL. RAYA BANGKINGAN NO.06 RT.03 RW.01 LAKARSANTRI, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2277,Al-kautsar Spesialist water filter,"Jln.H Mawi Rt 13 Rw 04 Bojong Indah Kec Parung Kab Bogor, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2278,Fresh Bucket Semarang,"Jalan Gemah Raya I, Pedurungan, Semarang, Kabupaten Semarang, Jawa Tengah",Kabupaten Semarang,Jawa Tengah
idn-2279,CV. Yupi Fiberglass Surabaya,"jl raya taman timur gang 3 rt.12 rw.03 nomer 54-taman, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2280,CV.Gada Bina Usaha,"Asrikaton Indah F 6 Graha GBU, MALANG, Jawa Timur",,Jawa Timur
idn-2281,ROMPI RAJUT SEKOLAH,"Jl. Kebon Kangkung 11 No. 10, Bandung, RT1 RW8, Ibrahim Adji Kiaracondong, Kota Bandung, Jawa Barat",,Jawa Barat
idn-2282,CAHAYA NUSANTARA PLASINDO,"Pesona Taman Burung Blok D No.11 Gempol sari - Bandung, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2283,CV. TOSIN INDUSTRI,"Plalangan, Klodran, Colomadu, Karanganyar. 57172, Kabupaten Karanganyar, Jawa Tengah",Kabupaten Karanganyar,Jawa Tengah
idn-2284,PT RAZ ENERGI INDONESIA,"Jl. Bukit Cinere Raya Dalam Kav. 7 No. 7 Kelurahan Gandul, Kecamatan Cinere, Depok - Jawa Barat 16512, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2285,CV DUTA SENTOSA DANJAYA,"Griya Permata Gedangan Blok L2-32, Gedangan Sidoarjo, Jawa Timur, Indonesia., Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2286,CV.Mitra Duta Elektrindo,"Jalan Kedung Tarukan Baru 1A No.9 Mojo Gubeng, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2287,MULIA PROPERTI INDONESIA,"Jl. Proklamasi Raya Blok C No.1, Kota Depok, Jawa Barat",Kota Depok,Jawa Barat
idn-2288,SURYA MITRA KENCANA,"RUKO LAGUNAJL. SUNANDAR PRIYO SUDARMO NO.31 KAV.2 MALANG, Kabupaten Pemalang, Jawa Tengah",Kabupaten Pemalang,Jawa Tengah
idn-2289,Toko Pertanian Anugerah Tani Blitar,"Jl. mastrip - kel.Togogan, kec. Srengat, kab.blitar, jawa timur, INDONESIA , tlp 08123369903, Kabupaten Blitar, Jawa Timur",Kabupaten Blitar,Jawa Timur
idn-2290,CAHAYA TEKNIK NUSANTARA,"Taman Suko Asri Blok I/03 Sukodono, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2291,PT. Hudaya Maju Mandiri,"Hp : 0812-99023578 / 0818-727690 (keduanya bisa WA), Email : [email protected], Jl. Raya Teuku Umar KM. 44 Cikarang Barat-Bekasi 175, Jl. Raya Jakarta Bogor km 47,5 Cibinong, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2292,CV. RIZKY JAYA,"Jl. Jendral S Parman V No. 15F Waru- Sidoarjo, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2293,CV. Global Putra Mandiri,"Jl. Gunung Anyar Emas R6, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2294,HARYO BAROKAH,"Jl. Damai no.10 rt.08 rw.01 Kel Ketapang Kec Kademangan Kota Probolinggo, Kota Probolinggo, Jawa Timur",Kota Probolinggo,Jawa Timur
idn-2295,UD.Xaviera Trading Group,"Dsn.Jatirejo RT 002 / RW 002 desa Tenggur Kec.Rejotangan Tulungagung, Kabupaten Tulungagung, Jawa Timur",Kabupaten Tulungagung,Jawa Timur
idn-2296,Indogalva Steel Construction,"Gunting RT 08/RW 02, Gunting, Wonosari, Klaten, Kabupaten Klaten, Jawa Tengah",Kabupaten Klaten,Jawa Tengah
idn-2297,PT.Netwave Teknologi,"Depok, Kota Depok, Jawa Barat",Kota Depok,Jawa Barat
idn-2298,"INTERNUSA heater & Thermocouple 0811371090, 031- 8952248","Pondok Sidokare Asri BR 3, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2299,PT. Power Service Indonesia,"Jl. Raya Gunung Putri km.4, Jawa Barat",,Jawa Barat
idn-2300,FaFi JAYA ABADI ( Personal Business ),"Solo Raya, Kabupaten Karanganyar, Jawa Tengah",Kabupaten Karanganyar,Jawa Tengah
idn-2301,Mom's 3R,"Jl. Rawa Indah Raya B/12 rt. 007/03kav. Pesona Rawa Indah Marga mulya Bekasi Utara kota Bekasi, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2302,ANEKA KERIPIK,"Perumahan Puri harmoni 1 residen. Jl.Belimbing2 Blok. D1. No.11. RT.04/RW.11. Desa Dayeuh. Kecamatan Cileungsi. Kabupaten Bogor., Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2303,FUN.FUDGE,"Jl. Bajak II H Gg. Coklat 1 Lk. XIV Kel. Harjosari II Kec. Medan Amplas Kota Medan, Kabupaten Sumedang, Jawa Barat",Kabupaten Sumedang,Jawa Barat
idn-2304,PUTRA MAERKA,"Desa Ngemplak Kidul RT 007 RW 004 Kecamatan Margoyoso Kabupaten Pati, Kabupaten Pati, Jawa Tengah",Kabupaten Pati,Jawa Tengah
idn-2305,Karya Teknik,"Workshop: Jl, Bukit Beringin Utara raya D6 Ngaliyan SemarangOffice : Jl. Dempel Emas 10 No.10, Kabupaten Semarang, Jawa Tengah",Kabupaten Semarang,Jawa Tengah
idn-2306,UD. KARYA TEKNIK,"Jl. BUKIT BERINGIN UTARA RAYA BLOK D6 NGALIYAN SEMARANG, Kabupaten Semarang, Jawa Tengah",Kabupaten Semarang,Jawa Tengah
idn-2307,Ladiiscakes,"Kp. Hanjawar Rt. 003 Rw. 002 Desa. Cikondang kecamatan. Cibeber kabupaten. CianjurJawa Barat 43262, Kabupaten Cianjur, Jawa Barat",Kabupaten Cianjur,Jawa Barat
idn-2308,KAISRAN safetindo,"Komplek muda parsi Jln.Raya jati makmur, Rt.001/Rw.006 no.33A, jati makmur Pondok gede bekasi Jawa barat, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2309,RKL Olshop herbalis,"Jl Gn tampomas blok d no 3 ciomas pagelaran, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2310,Koperasi Petani Organik Bumi Putra (KOBUTRA),"Desa Somawangi RT 06 RW 01, Kecamatan Mandiraja - Kabupaten Banjarnegara - Jawa Tengah, Kabupaten Banjarnegara, Jawa Tengah",Kabupaten Banjarnegara,Jawa Tengah
idn-2311,Siti Rochmah,"Gg.Mushola No 371 Rt 01/12 Gn. Batu Bogor Barat, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2312,Toko ORIO,"Jl Duku V CA 326 Pondok Tjandra Indah, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2313,CV. CARINTECH KARYATAMA,"Jl. Raya Sawangan No.3 Rt.001 Rw.002 Kelurahan Mampang Kec. Pancoran Mas, Kota Depok, Kota Depok, Jawa Barat",Kota Depok,Jawa Barat
idn-2314,Mesin Industri dan Pertanian,"Jl. Kyai Tambak Deres No.84 Surabaya, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2315,OO-Dhyn Technology,"Mustikajaya, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2316,ITEUNK_ CELL@ NET,"Jl. Singadita No. 53 Mande, Kabupaten Cianjur, Jawa Barat",Kabupaten Cianjur,Jawa Barat
idn-2317,UD. ANEKA OLI,"Jl. Garuda IX/ 18 Rewwin Waru Sidoarjo, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2318,CV. Indoreka Duta Multisukses,"De Royal Kedanyang Gresik, Kabupaten Gresik, Jawa Timur",Kabupaten Gresik,Jawa Timur
idn-2319,SPARK-BENSIN,"Tugu, Cimanggis, Kota Depok, Jawa Barat",Kota Depok,Jawa Barat
idn-2320,geraihusna komputer,"vila mutiara gading 3, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2321,CV. ELECTRO BUDY PERKASA,"jl. tambang barat 04 (GKB) / jl. KH. Kholil no 04 yosowilangun, Kabupaten Gresik, Jawa Timur",Kabupaten Gresik,Jawa Timur
idn-2322,PT Bahtera Bintang Mandiri,"Kemang Pratama, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2323,DAYABETA,"jagangkidul.salam, Kabupaten Magelang, Jawa Tengah",Kabupaten Magelang,Jawa Tengah
idn-2324,Aula Persada Teknik,"Jababeka, Jawa Barat",,Jawa Barat
idn-2325,cv_ globaltrading,"jl.yanatera II no 20, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2326,CV. CITRA PERTIWI,"Bumi Panyileukan C 8 No. 7, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2327,PT. Global Dimensi Mandiri,"Kawasan Pergudangan dan Perdagangan, Sentra Niaga 5-6, No. 5, Harapan Indah, Kota Bekasi, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2328,CV BINTANG JAYA TEHNIK,"Jln Jasa harja Bunga Resident no 7 Bandung kidul Jawa barat 40287 Tlp: 02287301240 Hp: 082315555514/089674777748, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2329,intansoft,"sidosermo IV 8a no 5, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2330,CV. CITRAYUDA PRATAMA,"Jl. Pandegiling, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2331,CV.DUTA ANUGERAH UTAMA,"KAV.TAMAN DUTA BLOK D19 NO.3 RT.005/RW.039 KEL.BAHAGIA KEC.BABELAN, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2332,PT Tata Solusi Buana,"Jl. Jemur Andayani 50, Ruko Surya Inti Permata E-58, Surabaya, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2333,Globalindo Karya Sukses,"Jl. A. Yani Perum. Bumi Wangi No.14 Jajag, Kabupaten Banyuwangi, Jawa Timur",Kabupaten Banyuwangi,Jawa Timur
idn-2334,CV Trikarya Mandiri,"Jalan Wiyung Indah Utara Blok XX-10, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2335,CV Bersama Jaya,"Jl Gajayana 573 A Kel Dinoyo Kec Lowokwaru Malang Jatim, Kabupaten Pemalang, Jawa Tengah",Kabupaten Pemalang,Jawa Tengah
idn-2336,Sub.PO Sukamulya..distributor wil.3 cirebon,"JLN.KARTINI GG BUNTU, Kabupaten Cirebon, Jawa Barat",Kabupaten Cirebon,Jawa Barat
idn-2337,mery dylan,"Jl. Raya Rengas Dengklok Batu Jaya Desa Medangasem, Kabupaten Karawang, Jawa Barat",Kabupaten Karawang,Jawa Barat
idn-2338,Soundelug,"Raya Surabaya Mojokerto Km5, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2339,CV.SOLDIN TEKNIK ENERGI,"Jln. Raya Siliwangi Gang Pemuda, Kp.Rawa Panjang RT.01/05 No.43 Kel.Sepanjang Jaya Kec.Rawa Lumbu Kota Bekasi 17114, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2340,SPPBE - PT.ANTAWIRYO ADHI GUNA NGAWI,"Jl. Raya Ngawi Caruban Km.4 Karangtengah Prandon, Kabupaten Ngawi, Jawa Timur",Kabupaten Ngawi,Jawa Timur
idn-2341,CV. SINAR ENERGI GEMILANG,"Ruko Graha Tirta, Jl. Tirta Raya No.2, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2342,ALFA PLASTIK UD,"Jl cempedak2/12 Jember, Kabupaten Jember, Jawa Timur",Kabupaten Jember,Jawa Timur
idn-2343,CV. R A H A Y U S E N T O S A,"Head Office : Jl.Kolonel Sugiono No.46 - RT08/RW02 - Ngingas,Waru, Sidoarjo - Branch Office : Kawasan Gudang & Industri Permata Jabon E2/A23, Tambak Sawah, Sidoarjo, Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2344,Ajisoko Trading Co.,"Tytyan kencana blok E4 No. 21-22 Margamulya, Jawa Barat",,Jawa Barat
idn-2345,EXPLOSION PROOF BANDUNG,"JL. GAHARU I F2 NO. 10A, Jawa Barat",,Jawa Barat
idn-2346,CV.GEOMATIKA BHUANA UTAMA,"Permata Buah Batu Blok F no.19, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2347,PLTS MANDIRI - CV. GLOBAL ENERGI SISTEM,"Perum Tuban Akbar Blok H-67, Kabupaten Tuban, Jawa Timur",Kabupaten Tuban,Jawa Timur
idn-2348,PT. Anugerah Tri Mitra Sejahtera,"Jl. Pahlawan No. 24, Pondok Rajeg, Cibinong, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2349,CV BANGUN GUNA SEJAHTERA BANDUNG - SCHNEIDER ELECTRIC,"Jl Cikudapateuh Kolot No 1, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2350,Paket Wisata Danau Toba - Lake Toba Tour,"Jalan Karya Wisata Medan Johor,Pangkalan Masyur No.36A, Kabupaten Sumedang, Jawa Barat",Kabupaten Sumedang,Jawa Barat
idn-2351,ASIA PERDANA ABADI,"WIGUNA 1 No.57, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2352,elge sinergi,"JL usman dhomiri, Kota Cimahi, Jawa Barat",Kota Cimahi,Jawa Barat
idn-2353,CV. Mulia Agro Pratama,"Jl. Letda Sujono, Kabupaten Sumedang, Jawa Barat",Kabupaten Sumedang,Jawa Barat
idn-2354,VIP ( Vitra Indonesia Perkasa),"Bendul Merisi 6B, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2355,Elang Matsuyama,"Jl. Raya Hankam, Gg, Nurul Mutaqin, RT 04 RW 002 NO. 66 Kel. Jatirahayu, Kec. Pondok Melati, Kota Bekasi, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2356,"STERNO jelly/ STERNO gel, STERNO refill, STERNO gel fuel cans, STERNO liquid, STERNO fuel, STERNO pasta/ cream, sterno padat dan SPIRITUS gel/ jelly/ Refill - ALFATHAMA PRIMA [ Yazid-081310755441, 085781187220] harga sewaktu-waktu berubah [ JAKARTA : Jl.D","MUTIARA VENEZIA RESIDENCE F5/10 CILEUNGSI, Kabupaten Bogor, Jawa Barat",Kabupaten Bogor,Jawa Barat
idn-2357,UD. NIAGA GLOBALTECH,"JL. RAYA NUSANTARA NO. 203 TROPODO-WARU SIDOARJO, Kota Surabaya, Jawa Timur",Kota Surabaya,Jawa Timur
idn-2358,PT Buana Wahana Energi,"Jln. Gelap Nyawang 4, Second Floor, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat
idn-2359,PT. POWER SERVICE INDONESIA,"Jl. Raya Gunung Putri Km. 4, Jawa Barat",,Jawa Barat
idn-2360,CV CAHAYA CERAH ORDERINDO ( CCO ),"Rorojonggrang Timur I , RT.011 RW.006 , Manyaran, Kabupaten Semarang, Jawa Tengah",Kabupaten Semarang,Jawa Tengah
idn-2361,Inverter Surabaya,"Dusun Kemantren Rt 5 Rw 3 No. 35 Kel. Banjar Kemantren Kec. Buduran Seberang Pabrik Maspion Unit II (PT. Uchida), Kabupaten Sidoarjo, Jawa Timur",Kabupaten Sidoarjo,Jawa Timur
idn-2362,PT. AMUSINDO TEKNIK,"Jl. Duta Indah Blok H1/7, Kabupaten Bekasi, Jawa Barat",Kabupaten Bekasi,Jawa Barat
idn-2363,Rabbani_ Elfarisy,"1.Kandat ; 2.Ngadiluwih, Kabupaten Kediri, Jawa Timur",Kabupaten Kediri,Jawa Timur
