,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Certificate Number ,,,:,0558-CAL-525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Page  ,,,:,1,,of,1,,,,,,,Owner,,,:,PT THE MAGNUM ICE CREAM INDONESIA,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Order Number,,,:,2505.51. W (Rev 1),,,,,,,,,,Address,,,:,"Jababeka Industrial estate, Jl. Jababeka Ⅸ-B No.29 Blok D1, Wangunharja, Kec. Cikarang Utara, Kabupaten Bekasi, Jawa Barat 17531",,,,,,,,,,,,,,,,,,,
,Received Date,,,:,2025-05-30 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Equipment Name,,,:,pH Meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manufacturer,,,:,SI Analytics,,,,,,,,,,Calibration Location,,,:,Insitu (Lab. Micro),,,,,,,,,,,,,,,,,,,
,Model/Type,,,:,Lab. 855,,,,,,,,,,Calibration  Date,,,:,2025-05-30 00:00:00,,,,,,,,,,,,,,,,,,,
,Serial Number,,,:,IMTE-WQ-129,,,,,,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0506_Rev.6,,,,,,,,,,,,,,,,,,,
,Capacity/Graduation,,,:,0-14,,,pH,/,0.001,pH,,,,Env. Condition,,,:,T,25.4,⁰C,±,1.7117242768623688,⁰C,,,,,,,,,,,,,,
,Technician ID ,,,:,DT,,,,,,,,,,,,,,%RH,56,%,±,4.8,%,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Calibration Report,,,:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Standard Value   ,,,,,,,Unit Under Test     ,,,,,,Correction        ,,,U95% (±),,,,,,,,,,,,,,,,,,,,
,,pH,,,,,,,pH,,,,,,pH,,,pH,,,,,,,,,,,,,,,,,,,,
,,4.0057607,,,,,,,4.009600000000001,,,,,,-0.003839300000000989,,,0.023,,,,,,,,,,,,,,,,,,,,
,,6.97642,,,,,,,6.999599999999999,,,,,,-0.02317999999999909,,,0.021,,,,,,,,,,,,,,,,,,,,
,,9.9451681,,,,,,,10.0006,,,,,,-0.05543190000000031,,,0.031,,,,,,,,,,,,,,,,,,,,
,,The Uncertainty is taken at a Convidence Level 95 % and Coverage Factor(k) =,,,,,,,,,,,,,,,,,,1.9718365067798587,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,, - Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Standard used :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Name,,,,,,,Merk/Type :,,,,,,,Serial Number :,,,,Traceable to SI through : ,,,,,,,,,,,,,,,,,,,
,pH Buffer Solution 4,,,,,,,Supelco/Merck,,,,,,,HC32513335    ,,,,Merck KGaA,,,,,,,,,,,,,,,,,,,
,pH Buffer Solution 7,,,,,,,Supelco/Merck,,,,,,,HC32465639,,,,Merck KGaA,,,,,,,,,,,,,,,,,,,
,pH Buffer Solution 10,,,,,,,Supelco/Merck,,,,,,,HC20621738   ,,,,Merck KGaA,,,,,,,,,,,,,,,,,,,
,Termometer & Sensor Std.,,,,,,,Constant/SH 10,,,,,,,99875850/20,,,,LK-285-IDN/LK-070-IDN,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issuance Date   :,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2025-06-02 00:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alex Misramto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Technical Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SIDIK-FM-CAL-2403_Rev. 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
