STANDAR KALIBRATOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,:,Ultrasonic Flowmeter Totalizer,,,Tanggal Kalibrasi ,,:,2025-08-08T00:00:00,,,,,Nama Alat,:,Ultrasonic Flowmeter Flowrate,,,Tanggal Kalibrasi ,,:,2025-08-08T00:00:00,,,,,,,,,,,,
,Merek,:,KROHNE,,,Due Date Kalibrasi,,:,2026-08-08T00:00:00,,,,,Merek,:,KROHNE,,,Due Date Kalibrasi,,:,2026-08-08T00:00:00,,,,,,,,,,,,
,Type,:,UFC300,,,Tertelusur,,:,LK-285-IDN,,,,,Type,:,UFC300,,,Tertelusur,,:,LK-285-IDN,,,,,,,,,,,,
,S/N,:,A18P045140,,,Resolusi,,:,0.001,L,,,,S/N,:,A18P045140,,,Resolusi,,:,0.001,Lpm,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Standard,Unit Under Test,Koreksi,Ketidakpastian,Ketidakpastian,,,,,,,,,Standard,Unit Under Test,Koreksi,Ketidakpastian,Ketidakpastian,,,,,,,,,,,,,,
,,,L,L,L,% of Reading,L,,,,,,,,,Lpm,Lpm,Lpm,% of Reading,Lpm,,,,,,,,,,,,,,
,,,100.168,99.203,-0.9650000000000034,1.4,1.388842,,,,,,,,,100.185,99.191,-0.9939999999999998,1.5,1.487865,,,,,,,,,,,,,,
,,,506.648,500.278,-6.3700000000000045,1.3,6.503614000000001,,,,,,,,,236.147,233.236,-2.9110000000000014,1.3,3.032068,,,,,,,,,,,,,,
,,,1013.852,1000.8,-13.052000000000021,1.3,13.0104,,,,,,,,,506.822,500.785,-6.036999999999978,1.4,7.01099,,,,,,,,,,,,,,
,,,1919.692,1900.298,-19.394000000000005,1.3,24.703874000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
