,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Flowmeter,,,,,,Nama Custromer,,:,,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,Merk,,:,Endress+Hausser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,Promag P,,,,,,Alamat Customer,,:,,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,D60BF219000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,0.1-0.6,m3/h,#VALUE!,,LPM,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,9999,m3/h,166650,,LPM,,Tanggal Terima ,,:,,2026-01-05T00:00:00,,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.0001,m3/h,0.0016666666666666668,,LPM,,Tanggal Kalibrasi,,:,,2026-01-05T00:00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,,Indexed Value,Correction (C),,,,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,28.2,28.4,28.299999999999997,,29.14,-0.82,oC,,,,0.1999999999999993,-0.82,1.7,±,1.7117242768623688,oC,,,,,,,,,,,,,,,
,Kelembaban,,:,56,54,55,,28.77,-0.83,%RH,,,,2,-0.83,4.9,±,5.292447448959697,%RH,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PERHITUNGAN FAKTOR KOREKSI (FC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All unit are converted to LPM and or kg,,,,,,,,,,,,,Volume Pipe from UUT to Standard (V) ,,,,0.00010129012000000001,m3,,,,,,,,,,,,,,,
,Readings of UUT flowrate,,(LPM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Repeat,,"Point 1
3 gigi valve (lpm)",,,,,"Point 2
4 gigi valve",,,,"Point 3
8 gigi valve",,,,,,,,,,,,,,,,,,,,,,
,,,"20""",,"40""","60""",Average,"20""","40""","60""",Average,"20""","40""","60""",Average,,,,,,,,,,,,,,,,,,,
,1,,2.035,,2.0316666666666667,2.033333333333333,2.033333333333333,9.945,9.951666666666666,9.941666666666668,9.946111111111113,0,0,0,0,,,,,,,,,,,,,,,,,,,
,2,,2.035,,2.0316666666666667,2.033333333333333,2.033333333333333,9.945,9.951666666666666,9.941666666666668,9.946111111111113,0,0,0,0,,,,,,,,,,,,,,,,,,,
,3,,2.035,,2.0316666666666667,2.033333333333333,2.033333333333333,9.945,9.951666666666666,9.941666666666668,9.946111111111113,0,0,0,0,,,,,,,,,,,,,,,,,,,
,Average UUT,,2.033333333333333,,,,,9.946111111111112,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Readings of Weighing Result,,,,(kg),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Empty Container Weight
(kg)",,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Average,,0,,,,(Lpm),0,,,(Lpm),0,,,(Lpm),,,,,,,,,,,,,,,,,,,
,"Weight of Contents
(kg)",,2.0205,,,,2.0276183420906064,9.9287,,,9.96367940268003,0,,,0,,,,,,,,,,,,,,,,,,,
,,,2.0207,,,,2.027819046702543,9.9295,,,9.96448222112778,0,,,0,,,,,,,,,,,,,,,,,,,
,,,2.0206,,,,2.0277186943965746,9.9289,,,9.963880107291969,0,,,0,,,,,,,,,,,,,,,,,,,
,Average,,2.0206,,,,2.0277186943965746,9.929033333333335,,,9.964013910366594,0,,,0,,,,,,,,,,,,,,,,,,,
,Index Weighing,,3,,,,,9,,,,3,,,,,,,,,,,,,,,,,,,,,,
,Correction Standard,,0,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Standard Corrected,,2.0206,,,,,9.929033333333335,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Time
(minute)",,1.001,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,1,,,,,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
,Average (minute),,1.0003333333333333,,,,0.0009999999999998899,1,,,0,0,,,0,,,,,,,,,,,,,,,,,,,
,Index Timer (minute),,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,
,Correction Standard (minute),,0.0035,,,,,0.0035,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,
,Standard Corrected (minute),,1.0038333333333334,,,,,1.0035,,,,0.0035,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STDEV UUT Flowrate-STD (LPM),,Point 1,,,,,Point 2,,,,Point 3,,,,,,,,,,,,,,,,,,,,,,
,1,,-0.005714991242726786,,,,,0.01756829156891726,,,,0,,,,,,,,,,,,,,,,,,,,,,
,2,,-0.005514286630790011,,,,,0.018371110016666137,,,,0,,,,,,,,,,,,,,,,,,,,,,
,3,,-0.00561463893675862,,,,,0.017768996180855368,,,,0,,,,,,,,,,,,,,,,,,,,,,
,STDEV Flowrate,,0.00010035230596838751,,,,,0.00041779996660561136,,,,0,,,,,,,,,,,,,,,,,,,,,,
,STDEV Time,,0.0005773502691895622,,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature of Water ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UUT,(m3/h),Point 1,,,,,Point 2,,,,Point 3,,,,,,,,,,,,,,,,,,,,,,
,"Temperature
(oC)",,Awal,,Akhir,,,Awal,Akhir,,,Awal,,Akhir,,,,,,,,,,,,,,,,,,,,
,,,26.5,,26.5,,,26.5,26.5,,,26.5,,26.5,,,,,,,,,,,,,,,,,,,,
,,,26.5,,26.6,,,26.5,26.5,,,26.5,,26.5,,,,,,,,,,,,,,,,,,,,
,,,26.5,,26.6,,,26.5,26.5,,,26.5,,26.5,,,,,,,,,,,,,,,,,,,,
,Average,,26.5,,26.566666666666666,,,26.5,26.5,,,26.5,,26.5,,,,,,,,,,,,,,,,,,,,
,Index suhu,,25,,25,,,25,25,,,25,,25,,,,,,,,,,,,,,,,,,,,
,Correction Standard (0c),,-0.02,,-0.02,,,-0.02,-0.02,,,-0.02,,-0.02,,,,,,,,,,,,,,,,,,,,
,Standard Corrected (0c),,24.98,,24.98,,,24.98,24.98,,,24.98,,24.98,,,,,,,,,,,,,,,,,,,,
,Average (g/ml),,0.9964893086914637,,0.9964893086914637,,,0.9964893086914637,0.9964893086914637,,,0.9964893086914637,,0.9964893086914637,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALCULATION,,Point 1,,,,,Point 2,,,,Point 3,,,Satuan,,,,,,,,,,,,,,,,,,,
,UUT,,2.033333333333333,,,,,9.946111111111112,,,,0,,,LPM,,,,,,,,,,,,,,,,,,,
,,Densitas anak timbang,8,,,,,8,,,,8,,,kg/l,,,,,,,,,,,,,,,,,,,
,,E,0.001054227671620256,,,,,0.001054227671620256,,,,0.001054227671620256,,,,,,,,,,,,,,,,,,,,,,
,Density of Air,,0.0012,,,,,0.0012,,,,0.0012,,,kg/l,,,,,,,,,,,,,,,,,,,
,Weight of Water (M),,2.0206,,,,,9.929033333333335,,,,0,,,kg,,,,,,,,,,,,,,,,,,,
,Weight of Destillate Water with Bouyancy effect (Mt),,2.022730172433276,,,,,9.941004566115554,,,,0,,,kg,,,,,,,,,,,,,,,,,,,
,Density of Des. Water,,0.9964893086914637,,,,,0.9964893086914637,,,,0.9964893086914637,,,kg/l,Max,0.9964893086914637,,,,,,,,,,,,,,,,,
,Laju Alir Massa (m),,2.0220561537153707,,,,,9.941004566115554,,,,#DIV/0!,,,kg/min,,,,,,,,,,,,,,,,,,,
,Volume Flowrate (Q),,2.029179978228393,,,,,9.97602731851639,,,,#DIV/0!,,,LPM,,,,,,,,,,,,,,,,,,,
,Deviation Flowrate,,-0.004153355104940193,,,,,0.029916207405278783,,,,#DIV/0!,,,LPM,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
