,RECORD HASIL REKALIBRASI STANDAR KALIBRATOR,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Nama Alat,:,Timbangan,,,,,,,,,,,
,Merk,:,Mettler,,,,,,,,,,,
,Type,:,DJ Series,,,,,,,,,,,
,No. Seri,:,HSEX1403752,,,,,,,,,,,
,Range,:,3000,g,,,,,,,,,,
,Interval Kalibrasi,:,1,tahun,,,,,,,,,,
,,,,,,,,,,,,,,
,,,Koreksi ,,,,,,,,,,,
,,,Massa Nominal (g),Koreksi Tahun Kalibrasi (g),,,,,,Drift Calculation :,,,,
,,,,2026,2027,2028,2029,2030,2031,"u(δmD) = 0,5 (C max - C min) / sqrt(3)",,,,
,,,,PT SIDIK,PT SIDIK,PT SIDIK,,,,"C max
g"," C min
g","ΔC
g","0.5 * ΔC
kg",
,,,,22/7/2022,,,,,,,,,,
,,,1,0.01,,,,,,0.01,0.01,0,0,
,,,50,0,,,,,,0,0,0,0,
,,,100,0,,,,,,0,0,0,0,
,,,200,0,,,,,,0,0,0,0,
,,,300,,,,,,,0,0,0,0,
,,,500,0,,,,,,0,0,0,0,
,,,600,,,,,,,0,0,0,0,
,,,900,,,,,,,0,0,0,0,
,,,1000,0,,,,,,0,0,0,0,
,,,1200,,,,,,,0,0,0,0,
,,,1500,0,,,,,,0,0,0,0,
,,,1800,,,,,,,0,0,0,0,
,,,2000,0,,,,,,0,0,0,0,
,,,2100,,,,,,,0,0,0,0,
,,,2400,,,,,,,0,0,0,0,
,,,2500,0,,,,,,0,0,0,0,
,,,2700,,,,,,,0,0,0,0,
,,,3000,0,,,,,,0,0,0,0,
,,,,,,,,,,,,Max. U drift (δmD),0,kg
,,,,,,,,,,,,,,g
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
