,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,IDENTITAS ALAT,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat,,:,Flowmeter,,,,,Nama Custromer,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,Merk,,:,EH,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type,,:,Promass 300,,,,,Alamat Customer,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,,,,,,,,,,,
,No. Seri,,:,R4144D02000,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rentang Ukur,,:,140-2500,L,#VALUE!,L,,,,,,,,,,,,,,,,,,,,,,,,
,Kapasitas Alat,,:,9999,L,9999,L,,Tanggal Terima ,:,2026-02-02T00:00:00,,,,,,,,,,,,,,,,,,,,
,Resolusi Alat,,:,0.01,L,0.01,L,,Tanggal Kalibrasi,:,2026-02-02T00:00:00,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN KONDISI LINGKUNGAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,Awal,Akhir,Average,Indexed Value,Correction (C),,,Δ,C,U95% Std TH,U95% Sertifikat,,,,,,,,,,,,,,,,,
,Suhu Ruangan,,:,23.5,23.6,23.55,19.37,-0.59,oC,,0.10000000000000142,-0.59,1.7,±,1.70293863659264,oC,,,,,,,,,,,,,,,
,Kelembaban,,:,54,55,54.5,28.77,-0.83,%RH,,1,-0.83,4.9,±,5.000999900019996,%RH,,,,,,,,,,,,,,,
,Thermohygro Used,,:,TH-4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PERHITUNGAN FAKTOR KOREKSI (FC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,All unit are converted to L and or kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Readings of UUT,,(L),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Repeat,,Point 1,,,,Point 2,,,Point 3,,Point 4,,,,,,,,,,,,,,,,,,,
,1,,1002.65,,,,1901.37,,,0,,0,,,,,,,,,,,,,,,,,,,
,2,,1004.56,,,,1902.66,,,0,,0,,,,,,,,,,,,,,,,,,,
,3,,1006.52,,,,1904.27,,,0,,0,,,,,,,,,,,,,,,,,,,
,Average UUT,,1004.5766666666667,,,,1902.7666666666664,,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Readings of Std,,,,(L),,,,,,,,,,,,,,,,,,,,,,,,,,
,"STD Reading
(L)",,1010.885,,,,1901.654,,,0,,0,,,,,,,,,,,,,,,,,,,
,,,1011.52,,,,1903.158,,,0,,0,,,,,,,,,,,,,,,,,,,
,,,1012.215,,,,1904.998,,,0,,0,,,,,,,,,,,,,,,,,,,
,Average,,1011.54,,,,1903.2699999999998,,,0,,0,,,,,,,,,,,,,,,,,,,
,Index STD,,1013.852,,,,1919.692,,,0,,0,,,,,,,,,,,,,,,,,,,
,Correction Standard,,-13.052000000000021,,,,-19.394000000000005,,,#N/A,,#N/A,,,,,,,,,,,,,,,,,,,
,Standard Corrected,,998.4879999999999,,,,1883.8759999999997,,,#N/A,,#N/A,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,STDEV UUT-STD,,Point 1,,,,Point 2,,,Point 3,,Point 4,,,,,,,,,,,,,,,,,,,
,1,,8.235000000000014,,,,0.2840000000001055,,,0,,0,,,,,,,,,,,,,,,,,,,
,2,,6.960000000000036,,,,0.4979999999998199,,,0,,0,,,,,,,,,,,,,,,,,,,
,3,,5.69500000000005,,,,0.7280000000000655,,,0,,0,,,,,,,,,,,,,,,,,,,
,STDEV,,1.2700032808356363,,,,0.22204804284957327,,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Density of UUT,,0,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,
,,,0,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,
,(kg/L),,0,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,
,Average,,0,,,,0,,,0,,0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Temperature of Water ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UUT,(L),Point 1,,,,Point 2,,,Point 3,,Point 4,,,,,,,,,,,,,,,,,,,
,"Temperature
(oC)",,Awal,,Akhir,,Awal,Akhir,,Awal,Akhir,Awal,,,Akhir,,,,,,,,,,,,,,,,
,,,25.5,,25.4,,25.4,25.4,,25.3,25.4,26,,,26,,,,,,,,,,,,,,,,
,,,25.5,,25.4,,25.4,25.4,,25.3,25.4,26,,,26,,,,,,,,,,,,,,,,
,,,25.5,,25.4,,25.4,25.4,,25.3,25.4,26,,,26,,,,,,,,,,,,,,,,
,Average,,25.5,,25.399999999999995,,25.399999999999995,25.399999999999995,,25.3,25.399999999999995,26,,,26,,,,,,,,,,,,,,,,
,Density,,0.9969166119921791,,0.9969426938848222,,0.9969426938848222,0.9969426938848222,,0.9969686812561164,0.9969426938848222,0.9967847909027533,,,0.9967847909027533,,,,,,,,,,,,,,,,
,,,0.9969166119921791,,0.9969426938848222,,0.9969426938848222,0.9969426938848222,,0.9969686812561164,0.9969426938848222,0.9967847909027533,,,0.9967847909027533,,,,,,,,,,,,,,,,
,(kg/L),,0.9969166119921791,,0.9969426938848222,,0.9969426938848222,0.9969426938848222,,0.9969686812561164,0.9969426938848222,0.9967847909027533,,,0.9967847909027533,,,,,,,,,,,,,,,,
,Average,,0.996916611992179,,0.9969426938848222,,0.9969426938848222,0.9969426938848222,,0.9969686812561164,0.9969426938848222,0.9967847909027533,,,0.9967847909027533,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CALCULATION,,Point 1,,,,Point 2,,,Point 3,,Point 4,,,,Satuan,,,,,,,,,,,,,,,
,UUT,,1004.5766666666667,,,,1902.7666666666664,,,0,,0,,,,L,,,,,,,,,,,,,,,
,Standard Corrected (L),,998.4879999999999,,,,1883.8759999999997,,,#N/A,,#N/A,,,,L,,,,,,,,,,,,,,,
,Density of Des. Fluida UUT,,0.9969296529385006,,,,0.9969513563419202,,,0.996898722014564,,0.9967847909027533,,,,kg/dm3,,,,,,,,,,,,,,,
,Density of Des. Fluida STD,,0.9969296529385006,,,,0.9969426938848222,,,0.9969556875704693,,0.9967847909027533,,,,kg/dm3,,,,,,,,,,,,,,,
,Totalizer Standard Terkoreksi,,998.4879999999999,,,,1883.8594625886044,,,#N/A,,#N/A,,,,L,,,,,,,,,,,,,,,
,Deviation Totalizer ,,-6.088666666666768,,,,-18.907204078062023,,,#N/A,,#N/A,,,,L,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
