,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nama Alat:,Tachometer,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Merk       :,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Type       :,-,,,,,,,,,,,,,,,,,,,,,,,,,,,
,SN          :,190119000006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Res        :,0.1 & 1,Rpm,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Jumlah Hari:,420,hari,,,,,,,,,,,,,,,,,
,,"Point Kalibrasi
(Rpm)",[NAMA PELANGGAN DIREDAKSI],[NAMA PELANGGAN DIREDAKSI],[NAMA PELANGGAN DIREDAKSI],[NAMA PELANGGAN DIREDAKSI],[NAMA PELANGGAN DIREDAKSI],[NAMA PELANGGAN DIREDAKSI],[NAMA PELANGGAN DIREDAKSI],Perbedaan Koreksi,Drift per hari,Drift per tahun,,,,,,,,,,,,,,,,,
,,,2019-05-13T00:00:00,2020-06-22T00:00:00,2021-04-05T00:00:00,2022-05-30T00:00:00,2023-05-30T00:00:00,2024-06-14T00:00:00,2025-07-04T00:00:00,Rpm,Rpm,Rpm,,,,,,,,,,,,,,,,,
,,,"Nilai koreksi
(Rpm)","Nilai koreksi
(Rpm)","Nilai koreksi
(Rpm)","Nilai koreksi
(Rpm)","Nilai koreksi
(Rpm)","Nilai koreksi
(Rpm)","Nilai koreksi
(Rpm)",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,5,0,,0.2,0,,,,,,,,,,,,,,,,,,,,,,,
,,50,,,0.3,0,-0.20000000000000284,0.1,-0.2,,,,,,,,,,,,,,,,,,,,
,,100,0,0.6,0.5,0,-0.29999999999999716,0.1,-0.2,0.8999999999999971,0.002142857142857136,0.7821428571428547,,,,,,,,,,,,,,,,,
,,200,,1,0.7,0,-0.19999999999998863,0.1,-0.2,,,,,,,,,,,,,,,,,,,,
,,300,,0.6,0.9,0,-0.30000000000001137,0.1,-0.2,,,,,,,,,,,,,,,,,,,,
,,500,0,0.7,0.8,0,-0.39999999999997726,0.1,-0.2,1.1999999999999773,0.002857142857142803,1.0428571428571232,,,,,,,,,,,,,,,,,
,,700,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,
,,1000,0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,
,,1200,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,1500,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,,0.5,0.6,0,-0.599999999999909,0.1,-0.3,,,,,,,,,,,,,,,,,,,,
,,3000,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
,,4000,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,
,,5000,0,0.6,0.8,0,-0.6000000000003638,0.1,-0.4,1.4000000000003638,0.0033333333333341996,1.2166666666669828,,,,,,,,,,,,,,,,,
,,7000,,0.4,0.7,0,-0.8000000000001819,0.1,-0.5,,,,,,,,,,,,,,,,,,,,
,,10000,0,1.1,0.9,0,-1,0,-1,2.1,0.005,1.825,,,,,,,,,,,,,,,,,
,,15000,,1.4,1.1,0,-2,0,-1,,,,,,,,,,,,,,,,,,,,
,,20000,,1.7,1.2,0,-3,0,-1,,,,,,,,,,,,,,,,,,,,
,,25000,,1.5,1.4,0,-4,0,-1,,,,,,,,,,,,,,,,,,,,
,,30000,0,1.4,1.5,-2,-3,0,-2,4.5,0.010714285714285714,3.9107142857142856,,,,,,,,,,,,,,,,,
,,50000,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,90000,0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,DRIFT,,2.25,Rpm,,,,,,,,,,,,,,,,,,
