PT. SIDIK,,,,"KALIBRASI
MICROMETER",,,,,,,,,,,,LK-285-IDN,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Calibrator Standard Status Monitoring :,,,,,,,,,,ALL STANDARDS ARE VALID,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,Range,,:,C,,,,,,,,Certificate Number,,,:,002-UB.P-11-20,,,,,,,,
,,,,,*Fill automatically by max capacity,,,,,,,,Order Number,,,:,002-UBPK-1120,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,IDENTITAS ALAT,,,,,,,,,,IDENTITAS CUSTOMER,,,,,,,,,DON'T ERASE ! THIS DATA ARE FOR CALCULATION ,,,,
,,,,,,,,,,,,,,,,,,,,,Thermohygro used,,:,TH-3,
,,Nama Alat,,:,Outside Micrometer,,,,,,,Nama Custromer,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,
,,Merk,,:,Mahr,,,,,,,,,,,,,,,,Teknisi,,:,NS,
,,Type,,:,-,,,,,,,Alamat Customer,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,Metode Kalibrasi,,:,SIDIK-IK-CAL-0515_Rev.3,
,,No. Seri,,:,61010481,,,,,,,,,,,,,,,,Satuan,,:,mm,
,,Rentang Ukur,,:,50-75,,1,,,,,,,,,,,,,,,,,,
,,Kapasitas Max.,,:,75,,mm,,,,,Tanggal Terima ,,:,2020-11-30T00:00:00,,,,,,,,,,
,,Resolusi Alat,,:,0.001,,mm,,,,,Tanggal Kalibrasi,,:,2020-12-05T00:00:00,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Penandatangan,,:,Alex Misramto,
,,KONDISI LINGKUNGAN,,,,,,,,,PENGERJAAN,,,,,,,,,,Posisi,,:,Technical Manager,
,,,,,,,,,,,,,,,,,,,,,Dihitung oleh,,:,DR,
,,,,,Awal,Akhir,,Average,,,,Lokasi Kalibrasi,,:,Lab Dimensi PT SIDIK,,,,,,,,,,
