Certificate Number ,,:,001-CAL-126,,,,,,,,,,,,,,,,,,,
Page  ,,:,2 of 3,,,,,Owner,,,:,[NAMA PELANGGAN DIREDAKSI],,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Order Number,,:,2601.45.D.NK,,,,,Address,,,:,[ALAMAT PELANGGAN DIREDAKSI],,,,,,,,,,
Received Date,,:,2026-01-26T00:00:00,,,,,,,,,,,,,,,,,,,
Equipment Name,,:,Anak Timbangan,,,,,Calibration Location,,,:,Inlab,,,,,,,,,,
Manufacturer,,:,Delima Scientific,,,,,Calibration  Date,,,:,2026-01-27T00:00:00,,,,,,,,,,
Class,,:,F1,,,,,Calibration Method,,,:,SIDIK-IK-CAL-0535_Rev.0,,,,,,,,,,
Serial Number,,:,202501022,,,,,Env. Condition,,,:,T,23.05,°C,±,1.2041594578792296,°C,,,,,
Capacity,,:,100 g - 200 g,,,,,,,,,%RH,55.5,%,±,3.1622776601683795,%,,,,,
Technician ID ,,: ,NS,,,,,,,,,Tekanan Udara,933.1500000000001,hPa,±,3.0016662039607276,hPa,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Calibration Report :,,,,,,,,,,,,,,,,,,,,,,
,,1. ACCURACY,,,,,,,,,,,,,,,,,,,,
,,ID Number,,,Nominal,,,Conventional Mass,,,Uncertainty ±,,,,,,,,,,,
,,,,,(g),,,(g),,,(mg),,,,,,,,,,,
,,-,,,100,,,100.00005244377256,,,0.12631791807560336,,,,,,,,,,,
,,-,,,200,,,200.000149,,,0.1290971268756273,,,,,,,,,,,
,,-,,,200*,,,200.000149,,,0.1290971268756273,,,,,,,,,,,
,,-,,,0.005,,,#VALUE!,,,#VALUE!,,,,,,,,,,,
,,-,,,0.01,,,#VALUE!,,,#VALUE!,,,,,,,,,,,
,,-,,,0.02,,,#VALUE!,,,#VALUE!,,,,,,,,,,,
,,-,,,0.02,,,#VALUE!,,,#VALUE!,,,,,,,,,,,
,,-,,,0.05,,,#VALUE!,,,#VALUE!,,,,,,,,,,,
,,-,,,0.1,,,0.09884965298215177,,,0.12230667110152241,,,,,,,,,,,
,,-,,,0.2,,,0.20115964701784822,,,0.12230915194184931,,,,,,,,,,,
,,-,,,0.2,,,0.20115964701784822,,,0.12230915194184931,,,,,,,,,,,
,,-,,,0.5,,,0.49752121353318235,,,0.12233099790049153,,,,,,,,,,,
,,-,,,1,,,0.9974530942574934,,,0.12237579936971874,,,,,,,,,,,
,,-,,,2,,,1.998704936048056,,,0.12238330290415109,,,,,,,,,,,
,,-,,,2,,,1.9987549360480559,,,0.12238330290415109,,,,,,,,,,,
,,-,,,5,,,5.00037621170681,,,0.12244885226217343,,,,,,,,,,,
,,-,,,10,,,5.500162932954039,,,0.12255789748826322,,,,,,,,,,,
,,-,,,20,,,19.99989598848515,,,0.12267346725694618,,,,,,,,,,,
,,-,,,20,,,20.00049598848515,,,0.12267346725694618,,,,,,,,,,,
,,-,,,50,,,50.000273792020984,,,0.12321769838696284,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,That weighing uncertainty is mearured at confidence level 95% & coverage factor K = ,,,,,,,,,,1.9765750658304413,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,    - Calibration results are not to be announced and only apply to related tools -,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2. STANDARD USED,,,,,,,,,,,,,,,,,,,,,,
Name,,,,Nominal Mass,,,Merk/Class,,,Serial Number,,,,,Traceability,,,,,,,
Semi Micro Balance,,,,80 g,,,OHAUS PIONEER/PX85,,,C543502629,,,,,LK-064-IDN,,,,,,,
Analytical Balance,,,,0.2 - 220 g,,,Mettler Toledo/XS204,,,1129063525,,,,,LK-305-IDN,,,,,,,
