,RECORD HASIL REKALIBRASI STANDAR KALIBRATOR,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,Nama Alat,:,Anak Timbangan,,,,,,,,,,,,,,
,Merk,:,Accurate,,,,,,,,,,,,,,
,Type,:,Stainless,,,,,,,,,,,,,,
,No. Seri,:,75870,,,,,,,,,,,,,,
,Kelas,:,E2,,,,,,,,,,,,,,
,Range,:,1 mg - 200 g,g,,,,,,,,,,,,,
,Interval Kalibrasi,:,2,tahun,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,1,Massa Konvensional ,,,,,,,,,,,,,,
,,,Massa Nominal (g),Massa Konvensional Tahun Kalibrasi (g),,,,,,Drift Calculation :,,,,,,,
,,,,2026,2028,2030,2032,2034,2036,"u(δmD) = 0,5 (Mc max - Mc min) / sqrt(3)",,,,,,,
,,,,DirMet Bdg,,,,,,"Mc max
g","Mc min
g","u(δmD)
g","u(δmD)
g",,,,
,,,,2026-01-22T00:00:00,,,,,,,,,,,,,
,,,0.001,0.00100015,,,,,,0.00100015,0.00100015,0,0,,,,
,,,0.002,0.00200127,,,,,,0.00200127,0.00200127,0,0,,,,
,,,0.002*,0.00200133,,,,,,0.00200133,0.00200133,0,0,,,,
,,,0.005,0.0050016,,,,,,0.0050016,0.0050016,0,0,,,,
,,,0.01,0.010005100000000001,,,,,,0.010005100000000001,0.010005100000000001,0,0,,,,
,,,0.02,0.0200027,,,,,,0.0200027,0.0200027,0,0,,,,
,,,0.02*,0.020000900000000002,,,,,,0.020000900000000002,0.020000900000000002,0,0,,,,
,,,0.05,0.0500026,,,,,,0.0500026,0.0500026,0,0,,,,
,,,0.1,0.100006,,,,,,0.100006,0.100006,0,0,,,,
,,,0.2,0.2000033,,,,,,0.2000033,0.2000033,0,0,,,,
,,,0.2*,0.2000078,,,,,,0.2000078,0.2000078,0,0,,,,
,,,0.5,0.4999991,,,,,,0.4999991,0.4999991,0,0,,,,
,,,1,1.0000136,,,,,,1.0000136,1.0000136,0,0,,,,
,,,2,2.0000192,,,,,,2.0000192,2.0000192,0,0,,,,
,,,2*,2.0000185,,,,,,2.0000185,2.0000185,0,0,,,,
,,,5,5.0000284,,,,,,5.0000284,5.0000284,0,0,,,,
,,,10,10.000075,,,,,,10.000075,10.000075,0,0,,,,
,,,20,20.0000948,,,,,,20.0000948,20.0000948,0,0,,,,
,,,20*,20.0000812,,,,,,20.0000812,20.0000812,0,0,,,,
,,,50,50.000212,,,,,,50.000212,50.000212,0,0,,,,
,,,100,100.000144,,,,,,100.000144,100.000144,0,0,,,,
,,,200,200.000149,,,,,,200.000149,200.000149,0,0,,,,
,,,200*,200.000104,,,,,,200.000104,200.000104,0,0,,,,
,,,,,,,,,,,,Max. U drift,0,,,,
,,,,,,,,,,,,,,,,,
,,2,Koreksi,,,,,,,,,,,,,,
,,,Massa Nominal (g),Koreksi Tahun Kalibrasi (g),,,,,,,,,,,,,
,,,,2026,2028,2030,2032,2034,2036,,,,,,,,
,,,,DirMet Bdg,0,0,0,0,0,,,,,,,,
,,,0.001,1.4999999999997654e-07,,,,,,,,,,,,,
,,,0.002*,1.2699999999998303e-06,,,,,,,,,,,,,
,,,0.005,1.3299999999999076e-06,,,,,,,,,,,,,
,,,0.01,1.6000000000000389e-06,,,,,,,,,,,,,
,,,0.02,5.100000000000937e-06,,,,,,,,,,,,,
,,,0.02*,2.7000000000013125e-06,,,,,,,,,,,,,
,,,0.05,9.00000000001594e-07,,,,,,,,,,,,,
,,,0.1,2.599999999998437e-06,,,,,,,,,,,,,
,,,0.2,5.999999999992123e-06,,,,,,,,,,,,,
,,,0.2*,3.2999999999838714e-06,,,,,,,,,,,,,
,,,0.5,7.80000000000225e-06,,,,,,,,,,,,,
,,,1,-9.000000000258801e-07,,,,,,,,,,,,,
,,,2,1.3599999999946988e-05,,,,,,,,,,,,,
,,,2*,1.920000000010802e-05,,,,,,,,,,,,,
,,,5,1.8499999999921357e-05,,,,,,,,,,,,,
,,,10,2.8399999999706438e-05,,,,,,,,,,,,,
,,,20,7.500000000071338e-05,,,,,,,,,,,,,
,,,20*,9.479999999939537e-05,,,,,,,,,,,,,
,,,50,8.120000000033656e-05,,,,,,,,,,,,,
,,,100,0.0002119999999976585,,,,,,,,,,,,,
,,,200,0.00014400000000591717,,,,,,,,,,,,,
,,,200*,0.00014899999999329339,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,3,Uncertainty,,,,,,,,,,,,,,
,,,Massa Nominal (g),Uncertainty Tahun Kalibrasi (mg),,,,,,,,,,,,,
,,,,2026,2028,2030,2032,2034,2036,,,,,,,,
,,,,DirMet Bdg,0,0,0,0,0,,,,,,,,
,,,0.001,0.0008,,,,,,,,,,,,,
,,,0.002*,0.0009,,,,,,,,,,,,,
,,,0.005,0.0009,,,,,,,,,,,,,
,,,0.01,0.0009,,,,,,,,,,,,,
,,,0.02,0.001,,,,,,,,,,,,,
,,,0.02*,0.001,,,,,,,,,,,,,
,,,0.05,0.001,,,,,,,,,,,,,
,,,0.1,0.0013,,,,,,,,,,,,,
,,,0.2,0.0015,,,,,,,,,,,,,
,,,0.2*,0.0016,,,,,,,,,,,,,
,,,0.5,0.0016,,,,,,,,,,,,,
,,,1,0.0023,,,,,,,,,,,,,
,,,2,0.0033,,,,,,,,,,,,,
,,,2*,0.0036,,,,,,,,,,,,,
,,,5,0.0036,,,,,,,,,,,,,
,,,10,0.0046,,,,,,,,,,,,,
,,,20,0.0059,,,,,,,,,,,,,
,,,20*,0.0071,,,,,,,,,,,,,
,,,50,0.0071,,,,,,,,,,,,,
,,,100,0.011,,,,,,,,,,,,,
,,,200,0.023,,,,,,,,,,,,,
,,,200*,0.03,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
