,,,,,,,F1,,,AT yang dipakai untuk Msens,,,,,,,,,,,,,
,,,,,,MPE,2.5,,mg,,,,,,,,,,,,,,
,Data Sensitivitas Timbangan,,,,,AT Msens,100,,mg,,,,,,,,,,,,,,
,,Middle Capacity :,,500,g,,,,,,,,,,,,,,,,,,
,,Repeatability,,S (E2),T (F1),,,T+Msens,,S+Msens,,,,,Nama Standard,,Kapasitas ,,,,,,
,,1,,500,499.996,,,500.096,,500.099,,,,,Semi Micro Balance,,80,,,,,,
,,2,,499.999,499.997,,,500.096,,500.1,,,,,Analytical Balance,,220,,,,,,
,,,,,,,,,,,,,,,Electronic Balance Fujitsu,,1200,,,,,,
,,,,,,,,,,,,,,,Electronic Balance Excellent,,3100,,,,,,
,,Rumus Ketidakpastian Sensitivitas,,,,,,,,,,,,,Electronic Balance  Mettler,,30000,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,AT yang dipakai,,,,,,,,,,,,,,
,,,,,,,,,0.1,0,gram,,,,,,,,,,,,
,,,,,,,,Msens,0.100006,,gram,,,,,,,,,,,,
,,,,,,,,Umsens,0.0015,,mg,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,-3.0000000000143245,mg,=,99.50000000000614,mg,,,,,,,,,,,,,,,,
,,,,,,99.99999999999432,mg,,,,,,,,,,,,,,,,
,,,,,,99750.00000000023,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,100.006,mg,=,0.3535533905849133,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,0.0015,mg,=,0.003553300407888357,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,1.499910005399676e-05,mg,=,1.2625943788699563e-05,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,=,2.249730024298056e-10,mg,,,=,0.0035533320646545254,mg,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,usens =,-0.010659996194014476,mg,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
